samplesize,averagehalfrange
1,0.0
2,1.1332332001201397
3,1.7134345759437117
4,2.074490662711929
5,2.3446518694067207
6,2.5304482971914166
7,2.7045683560661495
8,2.861924766262726
9,2.966226870161664
10,3.0957291346311866
11,3.1832849458699743
12,3.238081106630358
13,3.348583541671904
14,3.4329318159504703
15,3.466597933886507
16,3.54619282834073
17,3.599334413912252
18,3.6361670092083442
19,3.694701660471033
20,3.7124089561847784
21,3.812062869734048
22,3.8326910078067113
23,3.863366688121423
24,3.907013605354844
25,3.949569651318755
26,4.027693819156061
27,3.9838524762686784
28,4.0062922201783095
29,4.055895089215841
30,4.072354509332026
31,4.105933431044162
32,4.139220219597135
33,4.179388870288304
34,4.1890880844065705
35,4.218466117439621
36,4.26240465708112
37,4.280437368023654
38,4.2925969587795665
39,4.326978887826661
40,4.336031163693108
41,4.327428441666419
42,4.36150201184115
43,4.3885282720812535
44,4.408713241968187
45,4.414653110708748
46,4.440322693590435
47,4.462320140581598
48,4.467285728013147
49,4.4767853108497
